Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Departure_Hour,Departure_Day,Departure_Weekday,Departure_Month
southwest,jfk,atl,161,on-time,803,148.42,47,male,medium,emergency,business,2,platinum,online,6.9,0.0,91,1,1,window,6,27,2,3
southwest,jfk,dfw,130,on-time,1605,228.57,30,female,low,family,business,1,gold,airport kiosk,5.3,2.0,45,0,0,middle,9,28,5,12
united,ord,ord,169,on-time,908,232.45,46,male,low,business,economy,0,silver,airport kiosk,7.0,0.0,63,0,0,middle,23,23,3,5
delta,sea,ord,227,on-time,63,526.43,75,female,medium,leisure,business,0,platinum,online,4.8,9.0,57,0,1,window,8,31,1,10
southwest,lax,jfk,150,on-time,628,324.14,23,male,high,family,economy,2,silver,desk,4.4,3.0,58,0,0,middle,22,17,4,1
delta,sfo,lax,155,on-time,1409,402.53,28,female,low,emergency,business,0,none,online,4.4,11.0,68,0,0,window,1,15,5,2
delta,atl,sea,170,on-time,794,356.89,69,female,low,emergency,economy,0,silver,mobile app,4.9,17.0,37,0,0,window,14,30,2,10
delta,dfw,lax,82,on-time,1273,414.0,59,male,medium,emergency,business,1,none,airport kiosk,3.5,11.0,49,0,0,middle,13,12,6,11
american airlines,atl,sea,191,on-time,1196,201.48,50,female,medium,emergency,economy,0,gold,online,8.2,16.0,57,0,0,window,0,16,3,11
united,den,jfk,201,on-time,1115,444.95,60,female,medium,emergency,economy,1,platinum,airport kiosk,8.3,1.0,116,0,1,aisle,1,18,4,4
united,sea,sfo,245,on-time,818,218.26,77,male,medium,business,business,1,none,mobile app,8.5,4.0,87,0,0,middle,10,29,0,4
jetblue,dfw,atl,101,on-time,1148,338.0,39,male,medium,business,premium economy,1,gold,online,7.9,7.0,9,0,0,middle,14,20,1,6
american airlines,dfw,ord,108,delayed,1167,388.83,28,female,medium,emergency,economy,0,none,desk,5.4,13.0,115,0,0,window,1,28,2,2
united,den,jfk,237,on-time,1544,276.14,38,female,low,business,economy,0,silver,desk,5.1,3.0,13,0,0,window,7,18,2,9
